1	Mit értünk hajón a Szabályzat I. része alapján? Hajó	"a nagyhajó, a kishajó, a vízi sporteszköz és az úszóm?."	"a belvízi hajó, beleértve a kishajót és kompot, továbbá a tengeri hajó és az úszómunkagép."	minden vízijárm? és úszómunkagép.		2
147	"Keletkezik vagy keletkezhet-e fáradt olaj olyan vitorlás kishajón, amely bels?égés? segédmotorral is rendelkezik?"	"Igen, hiszen fáradt olajnak min?sül a motor, fogaskerékhajtás, hidraulikus szerkezet fáradt olaja és egyéb másodlagosan nem felhasznált ken?anyaga."	"Nem, ha a gépüzem? berendezések (motor, hajtóm?) olajcseréjét az el?írt üzemid?n belül cseréljük."	"Igen, minden olyan olaj és zsír, amelynek a szavatossági ideje lejárt még akkor is, ha az nem került felhasználásra."		1
148	"Keletkezhet-e kishajón olyan hulladék, amely a Szabályzat meghatározása szerint fenékvíznek min?sül?"	"Igen, ha az a hajó elkülönül? tereib?l (pl. géptérb?l) származik és olajjal szennyezett."	"Igen, hiszen a fenékvíz nem más, mint a hajó alsó részében/részeiben csapadékból, kondenzációból, vagy a fröccsenésb?l származó, összegy?l? víz."	"Nem, hiszen a csapadékból, kondenzációból vagy fröccsenésb?l származó víz nem min?sül hulladéknak, hajónál az természetes jelenség."		1
149	Mi min?sül fáradt ken?anyagnak?	Lejárt szavatosságú és másodlagosan fel nem használható olajok és zsírok azok rendeltetését?l függetlenül.	"Olajozókannából, csapágyból és olajozó berendezésb?l elfolyó és egyéb másodlagosan nem felhasznált ken?anyag."	"Motor, fogaskerékhajtás, hidraulikus szerkezet fáradt olaja és egyéb másodlagosan nem felhasznált ken?anyaga."		2
150	Keletkezik vagy keletkezhet-e kishajón kommunális szennyvíz?	"Igen, hiszen kommunális szennyvíznek min?sül a konyhából és mosdóból származó szennyvíz, továbbá a fekália."	"Nem, ha a mosogató vagy mosdó (esetleg WC) szennyvize közvetlenül a szabadba jut."	"Nem, hiszen a konyhából és mosdóból származó szennyvíz nem min?sül kommunális szennyvíznek."		1
151	"Minek min?sül egy kishajó konyhájának mosogatója, mosdója (esetleg WC-je) használata során keletkez? anyag?"	Egyéb hajóüzemi hulladéknak (kommunális szennyvíznek).	Szennyvíznek.	Egyéb különleges hulladék.		1
152	Mi min?sül kommunális szennyvíznek?	"A hajó tisztításából származó víz, valamint a fenékben, annak tereiben összegy?lt es?- és kondenzvíz."	"A konyhából, étkez?b?l, mosdóból, és a mosodából származó szennyvíz, valamint a fekália."	"A konyhából és mosdóból származó szennyvíz, a fekália kivételével."		2
153	Mi min?sül háztartási szemétnek a Szabályzat alapján?	"Szerves és szervetlen háztartási, konyhai hulladék, amely nem tartalmaz hajóüzemi (olaj-, vagy ken?anyag-tartalmú) hulladékot vagy annak összetev?it (pl. fenékvíz)."	Szerves vagy szervetlen szilárd halmazállapotú hulladék.	"Kizárólag szerves anyagokat tartalmazó háztartási, konyhai hulladék, amely nem tartalmaz hajóüzemi (olaj-, vagy ken?anyag-tartalmú) hulladékot vagy annak összetev?it (pl. fenékvíz)."		1
154	Milyen kötelezettség hárul a kishajó vezet?jére a hajón keletkez? hulladékokkal kapcsolatban az alábbiak közül?	"Tilos a kishajóról víziútba dobni, folyatni, illetve engedni olajat vagy ken?anyagot tartalmazó hajóüzemi hulladékot, valamint háztartási hulladékot."	"A kishajóról víziútba dobni, folyatni, illetve engedni olajat vagy ken?anyagot tartalmazó hajóüzemi hulladékot csak a vonatkozó nemzeti el?írásoknak megfelel? hígítással és mennyiségben szabad."			1
155	A kishajó géptérrel rendelkezik. Milyen kötelezettség terheli a hajó vezet?jét a fenékvízzel (géptérb?l származó olajos fenékvíz) kapcsolatban az alábbiak közül? A kishajó vezet?je köteles	biztosítani a géptéri fenékvíz összegy?jtését.	gondoskodni a géptéri fenék tisztántartásáról!	megakadályozni a géptérben összegy?lt víz olajjal való szennyez?dését!		1
156	Milyen el?írás vonatkozik a hajón keletkez? - olajat vagy ken?anyagokat tartalmazó - hulladékok tárolásával kapcsolatban az alábbiak közül?	"A hulladékok tárolására szolgáló edényeket kizárólag a hajó fedélzetén lehet elhelyezni, hogy azok tartalmának bármely elfolyását kell? id?ben és könnyen észlelni és kiküszöbölni lehessen."	"A hulladékok tárolására szolgáló edényeket a hajón úgy kell elhelyezni, hogy azok tartalmának bármely elfolyását kell? id?ben és könnyen észlelni és kiküszöbölni lehessen."	"A hulladékok tárolására szolgáló edényeket kizárólag a fedélzet alatti, kizárólag e célt szolgáló és A (fokozottan t?z- és robbanásveszélyes) osztályba sorolt terekben szabad elhelyezni."		2
157	"Igaz vagy hamis? A géptérben csak olyan mosószereket, olajat és ken?anyagot oldó, valamint emulgeáló szereket szabad használni, amelyek megkönnyítik a fenékvíz kés?bbi tisztítást!"	Igaz.	Hamis.			2
158	Milyen el?írás vonatkozik a kishajón keletkez? háztartási szemétre vonatkozóan az alábbiak közül?	A hajó vezet?je köteles gondoskodni a háztartási szemétnek a hajón - lehet?ség szerint fajtánként történ? - összegy?jtésér?l és a hulladékgy?jt? pontokra való elkülönített leadásáról.	A hajó vezet?je köteles gondoskodni a háztartási szemét szelektív gy?jtésér?l és megsemmisítésér?l.	A hajó vezet?je köteles gondoskodni a háztartási szemét összegy?jtésér?l és leadásáról.		1
159	"Milyen el?írást tartalmaz a Szabályzat a hajó külhéjának tisztítására, törlésére?"	"A Szabályzat tiltja a véd?réteget, festéket megbontó nagynyomású tisztítóberendezések alkalmazását a hajók külhéjának mosásakor."	"Tilos a hajók külhéját olajjal törölni vagy olyan anyagokkal tisztítani, amelyek vízbe dobása tiltott!"	"A hajó külhéját csak vízben oldódó szerrel/szerekkel szabad mosni, törölni!"		2
160	Milyen korlátozás vonatkozik a hajón alkalmazott festékek használatára? Tilos	"higanyt-, arzént- és óntartalmú szerves vegyületeket, valamint szextoklorid hexánt vagy azok preparátumait tartalmazó antivegetatív festékek használata!"	"az olyan antivegetatív festékek használata, amelyek nem tartalmaznak higanyt-, arzént- és óntartalmú szerves vegyületeket, valamint szextoklorid hexánt!"	"megfelel? véd?felszerelés nélkül olyan festékek hajóra történ? felhordása, amelyek higanyt-, arzént- és óntartalmú szerves vegyületeket, valamint szextoklorid hexánt vagy azok preparátumait tartalmazzák!"		1
161	"Milyen sebességkorlátozás van érvényben a Tisza-tónak a Tisza eredeti medrén kívül, a tó partjától mért 200 méter távolságon belül, valamint a csatornákban? Vízijárm?vek legfeljebb"	"10 km/h sebességgel közlekedhet, kivéve a kijelölt sportpályák vízterületét."	5 km/h sebességgel közlekedhet.	"13 km/h sebességgel közlekedhet, kivéve a kijelölt sportpályák vízterületét."		1
162	Milyen sebességkorlátozás van érvényben a Keleti-f?csatornában? A csatornában a vízijárm? legfeljebb a parthoz viszonyított	10 km/h sebességgel közlekedhet.	13 km/h sebességgel közlekedhet.	5 km/h sebességgel közlekedhet.		1
163	Milyen közlekedési korlátozás vonatkozik a Tisza-tónak a Tisza eredeti medrén kívüli területén hajózó kishajóra? A kijelölt sportpályák vízterületét kivéve	"a tó partjától mért 200 méternél kisebb távolságban, valamint a csatornákban legfeljebb 10 km/h sebességgel közlekedhet."	"a tó partjától mért 100 méternél kisebb távolságban, valamint a csatornákban legfeljebb 20 km/h sebességgel közlekedhet."	"a tó partjától mért 200 méternél kisebb távolságban, valamint a csatornákban legfeljebb 15 km/h sebességgel közlekedhet."		1
164	Mi értünk hajóút alatt a Szabályzat alapján?	A vízi útnak hajózásra használt része.	A vízi útnak az adott vízállásnál hajózásra használt és jelzésekkel kit?zött része.	A vízi útnak adott vízállásánál jelzésekkel kit?zött része.		2
165	Mit értünk a hegymenet kifejezés alatt a víziközlekedésben?	A hullámhegyek biztonságos meghajózásának iránya.	A folyó forrása felé történ? haladást jelenti.	A víz áramlásával ellentétes irányú haladást jelenti.		2
166	Folytassa a Szabályzat alapján! Völgymenet a	folyó torkolata felé történ? haladást jelenti.	víz áramlásával azonos irányú haladást jelenti.	a hullámok mozgásával azonos irányú hajózás.		1
167	Folytassa a Szabályzat alapján! A víziút jobb partját	a torkolattól a forrás felé haladva értelmezzük.	a forrástól a torkolat felé haladva értelmezzük.	a mindenkori menetirányhoz viszonyítva értelmezzük.		2
168	Mit értünk bal part alatt a Szabályzat alapján?	A víziút bal partját jelenti a torkolattól a forrás felé haladva.	A hajó menetirányához képest bal oldal felé található partot jelenti.	A víziút bal partját jelenti a forrástól a torkolat felé haladva.		3
169	Folytassa a Szabályzat alapján! A víziút jobb és bal partját	a torkolattól a forrás felé haladva értelmezzük.	a forrástól a torkolat felé haladva értelmezzük.	a mindenkori menetiránnyal ellentétesen értelmezzük.		2
170	Milyen feltételek teljesülése mellett veheti igénybe a víziutat kishajó?	"A kishajó hosszának, szélességének, magasságának, merülésének és sebességének meg kell felelnie a víziút és a m?tárgyak m?szaki jellemz?inek."	"A víziutat csak azok a kishajók vehetik igénybe, amelyek erre m?szakilag és nautikailag arra alkalmasak."	"A víziutat csak olyan üzemképes kishajók használhatják, amelyek hossza, szélessége, magassága , merülése és sebessége megfelel a hajóút jellemz?inek."		1
171	"A víziút igénybevétele során mi határozza meg a kishajó hosszát, szélességét, magasságát, merülését és sebességét?"	Kizárólag a kishajó gépteljesítménye és az azzal elérhet? vízfelszínhez mért sebesség alapján.	"A Szabályzat II. részében egyes víziutakra elrendelt korlátozások, illetve esetleges átmeneti jelleg? hatósági rendelkezések alapján."	"A víziút és m?tárgyai m?szaki jellemz?i, valamint esetleges átmeneti jelleg? hatósági rendelkezések alapján."		3
172	Hárul-e kötelezettség a kishajó vezet?jére a víziút jelzéseivel és kit?z? jeleivel kapcsolatban?	"Nem, a kishajó vezet?t nem terheli bejelentési kötelezettség még akkor sem, ha a jel(ek) meghibásodását, elmozdulását vagy sérülését észleli."	"Igen, köteles megkísérelni a meghibásodást (pl. izzó csere) elhárítását, a jel elmozdulása vagy sérülése esetén már nincs kötelezettsége, azt a vízirendészet úgyis naponta ellen?rzi."	"Igen, köteles a legközelebbi illetékes hatóságnál haladéktalanul bejelenteni a jelz? és kit?z? jeleket érint? általa észlelt eseményt, rendellenességet."		3
173	Folytassa a mondatot! Folyamkilométer	a víziút egy adott pontjának/szelvényének a folyó vagy csatorna torkolatától mért távolsága.	a víziút egy adott pontjának/szelvényének a folyó vagy csatorna forrásától mért távolsága.	a víziút egy adott pontjának/szelvényének a jobb parton mért és a torkolattól számított távolsága.	xxx-1665.jpg	1
174	Mit értünk vízi sportpálya alatt Szabályzat alapján?	"Vízisízés, ejt?erny? vontatás, úszó eszközhöz kötött repülés, vontatott vízi sport- és fürd?eszköz, valamint motoros vízi sporteszköz másoktól és egymástól elkülönített használata céljára kijelölt vagy engedélyezett vízterület."	Versenyszer? vízisport céljait szolgáló és hajózási jelzésekkel kit?zött vízterület.	"Kizárólag vízisízés, ejt?erny? vontatás, valamint szó eszközhöz kötött repülés használatára épített és üzemeltetett vízterület."		1
175	Mit jelent a hajóút közelében meghatározás?	A víziút hajóúton kívül elhelyezked? és ahhoz közvetlenül csatlakozó vízterület.	A hajóút víziúton kívül elhelyezked? és ahhoz közvetlenül csatlakozó vízterülete.	A mindenkori part élt?l márt 50 méter széles vízterület.		1
176	"Mit jelölnek az ábrán látható laterális kit?z? jelek (henger alakú vörös bóják, úszó vagy karón vörös henger)?"	A hajóút jobb szélet és a jobb part közeli veszélyeket jelölik.	A hajóút bal szélét és a bal part közeli veszélyeket jelölik.	A hajóutat választják el a köztük és a jobb part között elhelyezked? vesztegl?helyt?l.	teszt-0473.jpg	1
177	Mit jelez az ábrán látható vörös villanó fény? bója?	A hajóút tengelyét.	A hajóút jobb szélét és a jobb part közeli veszélyeket.	A vesztegl?helyet a hajóút jobb oldalán határolja el.	teszt-0475.jpg	2
178	"Kishajójával völgymenetben hajózik. Biztonságra törekedve, melyik oldal fel?l hajózik el az ábrán látható bója mellett?"	"Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét jelzi."	"A hajóm jobb oldal fel?l hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi."	"A hajóm bal oldala fel?l hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi."	teszt-0476.jpg	2
179	"Kishajójával völgymenetben hajózik. Biztonságra törekedve, melyik oldal fel?l hajózik el az ábrán látható vörös fény? (2,8 másodperces megszakításokkal 0,7 másodpercig villanó) bója mellett?"	"A hajóm jobb oldal fel?l hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi."	"Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét jelzi."	"A hajóm bal oldala fel?l hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi."	teszt-0498.jpg	1
180	"Kishajójával hegymenetben hajózik. Biztonságra törekedve, melyik oldal fel?l hajózik el az ábrán látható bója mellett?"	"A hajóm jobb oldal fel?l hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi."	"A hajóm bal oldala fel?l hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi."	"Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét jelzi."	teszt-0477.jpg	2
181	"Kishajójával hegymenetben hajózik. Biztonságra törekedve, melyik oldal fel?l hajózik el az ábrán látható vörös fény? 2,8 másodperces megszakításokkal 0,7 másodpercig villanó bója mellett?"	"A hajóm bal oldala fel?l hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi."	"Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét jelzi."	"A hajóm jobb oldal fel?l hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi."	teszt-0501.jpg	1
182	"Kishajójával völgymenetben hajózva egy tárgyat észlel maga el?tt. Megvilágítva azt egy vörös hengert formáló alakzatot lát. Biztonságra törekedve, melyik oldal fel?l hajózik el mellette?"	"Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel különálló veszélyes helyet jelez."	"A hajóm jobb oldal fel?l hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi."	"A hajóm bal oldala fel?l hajózok el a bója mellett, hiszen az hajóút bal szélét és a bal part közeli veszélyeket jelzi."	teszt-0502.jpg	2
183	"Kishajójával hegymenetben hajózva egy tárgyat észlel maga el?tt. Megvilágítva azt egy vörös hengert formáló alakzatot lát. Biztonságra törekedve, melyik oldal fel?l hajózik el az ábrán látható bója mellett?"	"A hajóm bal oldala fel?l hajózok el a bója mellett, hiszen az hajóút jobb szélét és a jobb part közeli veszélyeket jelzi."	"A hajóm jobb oldal fel?l hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi."	"Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét, biztonságos vizeket jelez."	teszt-0503.jpg	1
184	"Mit jelez az ábrán látható vörös hengert formáló, fehér P bet?vel ellátott bója?"	"A hajóút jobb szélét, továbbá irányának jelölésére szolgál, elhatárolja a hajóút jobb oldalát és a víziút jobb part felé es? veszélyes helyeit."	A hajóút bal szélét és a bal part közötti vesztegl?helyet határolja el.	A hajóút jobb szélét és a jobb part közötti vesztegl?helyet határolja el.	teszt-0511.jpg	3
185	Mit jelez az ábrán látható (állandó fázisú) vörös fény? bója?	A vesztegl?helyet a hajóút bal oldalán határolja.	A hajóút jobb szélét és a jobb parti veszélyeket.	A vesztegl?helyet a hajóút jobb oldalán határolja el.	teszt-0513.jpg	3
186	Mit jelez a parti tábla?	"A hajóút parthoz viszonyított helyzetét jelzi és a hajóúton elhelyezett jelekkel együtt, megjelöli a hajóutat azokon a helyeken, ahol az a bal parthoz közelít."	A hajóútnak a folyó egyik partjától a másikra történ? átmenetének kezdetét és végét jelzi a bal parton.	"A hajóút parthoz viszonyított helyzetét jelöli ott, ahol a jobb parthoz közelít, valamint iránytartó jelként is szolgál."	xxx-0543.jpg	3
187	Mit jelez az ábrán látható villanó vörös fény? parti tábla?	"A hajóút parthoz viszonyított helyzetét jelzi és a hajóúton elhelyezett jelekkel együtt, megjelöli a hajóutat azokon a helyeken, ahol az a bal parthoz közelít."	A hajóútnak a folyó egyik partjától a másikra történ? átmenetének kezdetét és végét jelzi a bal parton.	"A hajóút parthoz viszonyított helyzetét ott, ahol a jobb parthoz közelít, valamint iránytartó jelként is szolgál."	xxx-0544.jpg	3
188	Mit jelöl az ábrán látható parti tábla az alábbiak közül?	Veszélyes hely következik!	"A jobb parti veszélyes helyeket jelzi és kisegít? jelként szolgál a mederbe benyúló különféle m?tárgyak (gát, vezet?m?, stb.) határolására."	"A bal parti veszélyes helyeket jelzi és kisegít? jelként szolgál a mederbe benyúló különféle m?tárgyak (gát, vezet?m?, stb.) határolására."	xxx-0550.jpg	2
189	Mit jelölnek az ábrán látható laterális kit?z? jel (kúp alakú zöld úszó)?	A hajóút jobb szélet és a jobb part közeli veszélyeket jelölik.	A hajóút bal szélét és a bal part közeli veszélyeket jelölik.	A hajóutat választják el a köztük és a jobb part között elhelyezked? vesztegl?helyt?l.	teszt-0524.jpg	2
190	Mit jelez az ábrán látható zöld villanó fény? bója?	A hajóút tengelyét.	A hajóút bal szélét és a bal part közeli veszélyeket.	A vesztegl?helyet a hajóút bal oldalán határolja el.	xxx-0557.jpg	2
191	"Kishajójával völgymenetben hajózik. Biztonságra törekedve, melyik oldal fel?l hajózik el az ábrán látható bója mellett?"	"Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét jelzi."	"A hajóm jobb oldala fel?l hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi."	"A hajóm bal oldala fel?l hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi."	teszt-0532.jpg	3
192	"Kishajójával völgymenetben hajózik. Biztonságra törekedve, melyik oldal fel?l hajózik el az ábrán látható zöld fény? 2,8 másodperces megszakításokkal 0,7 másodpercig villanó bója mellett?"	"A hajóm bal oldala fel?l hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi."	"Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét jelzi."	"A hajóm jobb oldala fel?l hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi."	teszt-0534.jpg	1
193	"Kishajójával hegymenetben hajózik. Biztonságra törekedve, melyik oldal fel?l hajózik el az ábrán látható bója mellett?"	"A hajóm bal oldala fel?l hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi."	"A hajóm jobb oldala fel?l hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi."	Bármelyik oldalról biztonságosan el lehet mellette hajózni.	teszt-0536.jpg	2
194	"Kishajójával hegymenetben hajózik. Biztonságra törekedve, melyik oldal fel?l hajózik el az ábrán látható zöld fény? (2,8 másodperces megszakításokkal 0,7 másodpercig villanó) bója mellett?"	Bármelyik oldalról biztonságosan el lehet mellette hajózni.	"A hajóm jobb oldala fel?l hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi."	"A hajóm bal oldala fel?l hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi."	teszt-0530.jpg	2
195	"Kishajójával völgymenetben hajózva egy tárgyat észlel maga el?tt. Megvilágítva azt egy zöld kúpot formáló alakzatot lát. Biztonságra törekedve, melyik oldal fel?l hajózik el az ábrán látható úszó mellett?"	"A hajóm bal oldala fel?l hajózok el a bója mellett, hiszen az hajóút bal szélét és a bal part közeli veszélyeket jelzi."	"A hajóm jobb oldal fel?l hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi."	"Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét, biztonságos vizeket jelez."	xxx-0523.jpg	1
196	"Mit jelez az ábrán látható zöld kúpot formáló, fehér P bet?vel ellátott bója?"	"A hajóút bal szélét, továbbá irányának jelölésére szolgál, elhatárolja a hajóút bal oldalát és a víziút bal part felé es? veszélyes helyeit."	A hajóút bal szélét és a bal part közötti vesztegl?helyet határolja el.	A hajóút jobb szélét és a jobb part közötti vesztegl?helyet határolja el.	xxx-0537.jpg	2
197	Mit jelez a parti tábla?	A hajóútnak a folyó egyik partjától a másikra történ? átmenetének kezdetét és végét jelzi a jobb parton.	"A hajóút parthoz viszonyított helyzetét jelöli ott, ahol a bal parthoz közelít, valamint iránytartó jelként is szolgál."	"A hajóút parthoz viszonyított helyzetét jelzi és a hajóúton elhelyezett jelekkel együtt, megjelöli a hajóutat azokon a helyeken, ahol az a jobb parthoz közelít."	xxx-0567.jpg	2
198	Mit jelez az ábrán látható villanó zöld fény? parti tábla?	"A hajóút parthoz viszonyított helyzetét jelzi és a hajóúton elhelyezett jelekkel együtt, megjelöli a hajóutat azokon a helyeken, ahol az a jobb parthoz közelít."	A hajóútnak a folyó egyik partjától a másikra történ? átmenetének kezdetét és végét jelzi a jobb parton.	"A hajóút parthoz viszonyított helyzetét ott, ahol a bal parthoz közelít, valamint iránytartó jelként is szolgál."	xxx-0569.jpg	3
199	Mit jelöl az ábrán látható parti tábla?	Veszélyes hely következik!	"A jobb parti veszélyes helyeket jelzi és kisegít? jelként szolgál a mederbe benyúló különféle m?tárgyak (gát, vezet?m?, stb.) határolására."	"A bal parti veszélyes helyeket jelzi és kisegít? jelként szolgál a mederbe benyúló különféle m?tárgyak (gát, vezet?m?, stb.) határolására."	xxx-0554.jpg	3
200	"Mit jelölnek az ábrán látható laterális kit?z? jelek (zöld-vörös sávozású gömb alakú bóják, úszó vagy karó zöld-vörös sávozású gömb alakú csúcsjellel)?"	"A hajóút tengelyvonalát, a hajóút középvonalát."	A hajózható vizek által határolt különálló veszélyes helyeket jelölik.	"A hajóút szétágazását vagy összefolyását, valamint a hajóúton belül elhelyezked? akadályokat jelölik."	teszt-0540.jpg	3
201	Mit jelez az ábrán látható állandó fázisú fehér fény? bója?	"A hajóút tengelyvonalát, a hajóút középvonalát."	"A hajóút szétágazását vagy összefolyását, valamint a hajóúton belül elhelyezked? akadályokat."	"A hajóút szétágazását vagy összefolyását, valamint a hajóút közelében elhelyezked? akadályokat."	teszt-0545.jpg	2
202	Kishajójával völgymenetben hajózik. Melyik oldal fel?l hajózhat el az ábrán látható bója mellett? A jel mellett	"bármelyik oldalról biztonságosan el lehet hajózni, mivel a bója a hajóút szétágazását és mindkét ág hajózhatóságát, valamint a hajóúton belül elhelyezked? akadályokat jelzi."	"csak a hajóm jobb oldal fel?l hajózhatok el mellette, mivel az a bal oldali ág hajózhatóságát jelzi."	"bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel az a hajóút tengelyét jelzi."	teszt-0543.jpg	1
203	"Kishajójával völgymenetben hajózik. Melyik oldal fel?l hajózhat el az ábrán látható bója mellett, ha az 0,5 másodperces szünetekkel 0,5 másodperces fehér fény? felvillanásokkal jelez? A jel mellett"	"bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a világító bója a hajóút tengelyét jelzi."	"csak a hajóm jobb oldal fel?l hajózhatok el mellette, mivel az a bal oldali ág hajózhatóságát jelzi."	"bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a világító bója a hajóút szétágazását és mindkét ág hajózhatóságát, valamint a hajóúton belül elhelyezked? akadályokat jelzi."	teszt-0547.jpg	3
204	Kishajójával hegymenetben hajózik. Melyik oldal fel?l hajózhat el az ábrán látható bója mellett? A bója mellett	"bármelyik oldalról biztonságosan el lehet hajózni, mivel az a hajóút összefolyását, valamint a hajóúton belül elhelyezked? akadályokat jelzi."	"bármelyik oldalról biztonságosan el lehet hajózni, mivel az a hajóút tengelyét jelzi."	"csak a hajóm bal oldal fel?l hajózhatok el, mivel az a jobb oldali ág hajózhatóságát jelzi."	teszt-0549.jpg	1
205	Mit jelöl az ábrán látható parti tábla?	"Mindkét oldalról kikerülhet? veszélyes helyet, akadályt (pl. szigetvéget, víziút elágazást) jelöl a parton."	Menetirány szerint jobbról kerülhet? veszélyes helyet jelöli.	Elszórt hajózási akadályokat jelöli.	teszt-0563.jpg	1
206	"Hajójával hegymenetben hajózik. Melyik oldal fel?l hajózhat el az ábrán látható parti jel mellett, ha az 2,5 másodperces szünetekkel 2,5 másodperces fehér fény? felvillanásokkal jelez? A jel mellett"	"bármelyik oldalról biztonságosan el lehet hajózni, mivel az a hajóút tengelyét jelzi."	"bármelyik oldalról biztonságosan el lehet hajózni, mivel a világító parti jel mindkét oldalról kikerülhet? veszélyes helyet, akadályt (pl. szigetvéget, víziút elágazást) jelöl."	"csak a hajóm bal oldal fel?l hajózhatok el, mivel az hegymenetben a jobb oldali ág hajózhatóságát jelzi."	teszt-0566.jpg	2
207	Mit jelez az ábrán látható állandó fázisú fehér fény? parti jel?	"A hajóút tengelyvonalát, a hajóút középvonalát jelzi."	"Mindkét oldalról kikerülhet? veszélyes helyet, akadályt (pl. szigetvéget, víziút elágazást) jelez."	Menetirány szerint jobbról kerülhet? veszélyes helyet jelez.	teszt-0565.jpg	2
208	Mit jelez a parti tábla?	"A hajóútnak a jobb part fel?l a bal part felé tartó irányát (átmenetének kezdetét, végét a jobb parton)."	"A hajóútnak a bal part fel?l a jobb part felé tartó irányát (átmenetének kezdetét, végét a bal parton)."	"A hajóút parthoz viszonyított helyzetét jelzi és a hajóúton elhelyezett jelekkel együtt, megjelöli a hajóutat azokon a helyeken, ahol az a jobb parthoz közelít."	teszt-0570.jpg	1
209	Mit jelez a parti tábla?	"A hajóútnak a bal part fel?l a jobb part felé tartó irányát (átmenetének kezdetét, végét a bal parton)."	"A hajóútnak a jobb part fel?l a bal part felé tartó irányát (átmenetének kezdetét, végét a jobb parton)."	"A hajóút parthoz viszonyított helyzetét jelzi és a hajóúton elhelyezett jelekkel együtt, megjelöli a hajóutat azokon a helyeken, ahol az a bal parthoz közelít."	teszt-0586.jpg	1
210	"Mit jelez az ábrán látható sárga felvillanás-csoportokból álló fény (villogó vagy elsötétül?, páros számú jellemz?kkel)?"	Hajózási akadály jelzésére szolgál a jobb parton.	"A hajóútnak az egyik partjától a másikba vezet? átmenetének kezdetét, végét jelöli ki a bal parton."	"A hajóútnak a bal part fel?l a jobb part felé tartó irányát (átmenetének kezdetét, végét a bal parton)."	teszt-0589.jpg	3
211	Mit jelez a két parti tábla (feltakaró jelek)?	"A hajóút egyik partból a másikba való (hosszabb) átmenetének kezdetét, illetve végét jelzik a jobb parton."	"A hajóút egyik partból a másikba való (hosszabb) átmenetének kezdetét, illetve végét jelzik a bal parton."	"A hajóút parthoz viszonyított helyzetét jelzik és a víziúton elhelyezett jelekkel együtt megjelölik a hajóutat azokon a helyeken, ahol az a jobb parthoz közelít."	teszt-0606.jpg	1
212	"Völgymenetben hajózva az ábrán látható jobb parti táblákat (feltakaró jeleket) látja. Kell-e módosítania hajójának útirányát, ha az átmenet tengelyében kíván hajózni?"	"Igen, mert az egymás mögött elhelyezett táblák akkor jelölik az átmenet tengelyét, ha takarásban (egy tengelyben) látszanak."	A táblák egymáshoz viszonyított helyzete és az átmenet tengelye között nincs összefüggés.	"Nem, mert az egymás mögött elhelyezett táblák a képen látható helyzetükben is az átmenet tengelyét jelölik."	teszt-0613.jpg	1
